"ndvi","evi","doy","site","veg"
NA,NA,166.854293981481,"Shrub7","s"
NA,NA,166.854293981481,"Shrub8","s"
NA,NA,166.854293981481,"Shrub9","s"
NA,NA,166.854293981481,"Shrub10","s"
NA,NA,166.854293981481,"Shrub11","s"
NA,NA,166.854293981481,"Shrub13","s"
NA,NA,166.854293981481,"Shrub14","s"
NA,NA,166.854293981481,"Shrub15","s"
0.588264524936676,0.205868020653725,166.854293981481,"Forest1","f"
0.482152968645096,0.148412972688675,166.854293981481,"Forest2","f"
0.519565224647522,0.166463524103165,166.854293981481,"Forest3","f"
0.483333319425583,0.150858327746391,166.854293981481,"Forest4","f"
0.466130882501602,0.141296029090881,166.854293981481,"Forest5","f"
0.475845396518707,0.13953323662281,166.854293981481,"Forest6","f"
0.4935622215271,0.158358573913574,166.854293981481,"Forest7","f"
0.494331061840057,0.152511537075043,166.854293981481,"Forest8","f"
0.584742724895477,0.245594412088394,166.854293981481,"Forest9","f"
0.445783138275146,0.129665330052376,166.854293981481,"Forest10","f"
0.483870953321457,0.152781128883362,166.854293981481,"Forest11","f"
0.499460637569427,0.155041351914406,166.854293981481,"Forest12","f"
0.458122551441193,0.140696749091148,166.854293981481,"Forest13","f"
0.486226767301559,0.13699372112751,166.854293981481,"Forest14","f"
0.383505165576935,0.0730701237916946,166.854293981481,"Forest15","f"
NA,NA,166.854293981481,"FP1","fp"
NA,NA,166.854293981481,"FP2","fp"
NA,NA,166.854293981481,"FP3","fp"
NA,NA,166.854293981481,"FP4","fp"
NA,NA,166.854293981481,"FP5","fp"
NA,NA,166.854293981481,"FP6","fp"
NA,NA,166.854293981481,"FP7","fp"
NA,NA,166.854293981481,"FP8","fp"
NA,NA,166.854293981481,"FP9","fp"
NA,NA,166.854293981481,"FP10","fp"
0.562359988689423,0.144402250647545,177.855208333333,"ForestShrub2","fs"
0.616361081600189,0.16803814470768,177.855208333333,"ForestShrub1","fs"
0.67715460062027,0.366178423166275,177.855208333333,"Shrub1","s"
0.643040120601654,0.333225160837173,177.855208333333,"Shrub2","s"
0.638172030448914,0.336594343185425,177.855208333333,"Shrub3","s"
0.724806189537048,0.400073349475861,177.855208333333,"Shrub4","s"
NA,NA,177.855208333333,"Shrub5","s"
NA,NA,177.855208333333,"Shrub6","s"
0.680811285972595,0.374497205018997,177.855208333333,"Shrub7","s"
0.688405811786652,0.370137274265289,177.855208333333,"Shrub8","s"
0.70345538854599,0.399578154087067,177.855208333333,"Shrub9","s"
0.697123527526855,0.37384307384491,177.855208333333,"Shrub10","s"
0.635171413421631,0.315470010042191,177.855208333333,"Shrub11","s"
0.629843831062317,0.315780311822891,177.855208333333,"Shrub13","s"
0.705286860466003,0.380553543567657,177.855208333333,"Shrub14","s"
0.699607312679291,0.342167586088181,177.855208333333,"Shrub15","s"
0.62774795293808,0.225882440805435,177.855208333333,"Forest1","f"
0.557723581790924,0.181930691003799,177.855208333333,"Forest2","f"
0.5859255194664,0.201635539531708,177.855208333333,"Forest3","f"
0.601664066314697,0.205243736505508,177.855208333333,"Forest4","f"
0.507428586483002,0.156696662306786,177.855208333333,"Forest5","f"
0.561403512954712,0.181734278798103,177.855208333333,"Forest6","f"
0.612524449825287,0.219318225979805,177.855208333333,"Forest7","f"
0.69276750087738,0.219915747642517,177.855208333333,"Forest8","f"
0.711572289466858,0.333542168140411,177.855208333333,"Forest9","f"
0.494949489831924,0.135184839367867,177.855208333333,"Forest10","f"
0.569266617298126,0.176975131034851,177.855208333333,"Forest11","f"
0.523395001888275,0.168205350637436,177.855208333333,"Forest12","f"
0.577777802944183,0.211992532014847,177.855208333333,"Forest13","f"
0.586980938911438,0.1883395165205,177.855208333333,"Forest14","f"
0.430210322141647,0.0880040675401688,177.855208333333,"Forest15","f"
0.696828067302704,0.336016744375229,177.855208333333,"FP1","fp"
0.713428854942322,0.347260504961014,177.855208333333,"FP2","fp"
0.714191615581512,0.350698500871658,177.855208333333,"FP3","fp"
0.73022049665451,0.36495640873909,177.855208333333,"FP4","fp"
0.705210566520691,0.326191037893295,177.855208333333,"FP5","fp"
0.53226637840271,0.178010284900665,177.855208333333,"FP6","fp"
0.505398452281952,0.167919367551804,177.855208333333,"FP7","fp"
0.600720703601837,0.263016730546951,177.855208333333,"FP8","fp"
0.770235002040863,0.422649562358856,177.855208333333,"FP9","fp"
0.715437352657318,0.305697172880173,177.855208333333,"FP10","fp"
0.530014634132385,0.136619240045547,177.855219907407,"ForestShrub2","fs"
0.579600274562836,0.159268230199814,177.855219907407,"ForestShrub1","fs"
NA,NA,177.855219907407,"Shrub1","s"
NA,NA,177.855219907407,"Shrub2","s"
NA,NA,177.855219907407,"Shrub3","s"
NA,NA,177.855219907407,"Shrub4","s"
0.714285731315613,0.361745238304138,177.855219907407,"Shrub5","s"
0.662565886974335,0.300254851579666,177.855219907407,"Shrub6","s"
NA,NA,177.855219907407,"Shrub7","s"
NA,NA,177.855219907407,"Shrub8","s"
NA,NA,177.855219907407,"Shrub9","s"
NA,NA,177.855219907407,"Shrub10","s"
NA,NA,177.855219907407,"Shrub11","s"
NA,NA,177.855219907407,"Shrub13","s"
NA,NA,177.855219907407,"Shrub14","s"
NA,NA,177.855219907407,"Shrub15","s"
0.596356689929962,0.214727103710175,177.855219907407,"Forest1","f"
0.547798037528992,0.17892225086689,177.855219907407,"Forest2","f"
0.603305757045746,0.206601336598396,177.855219907407,"Forest3","f"
0.566412210464478,0.193095073103905,177.855219907407,"Forest4","f"
0.528181314468384,0.161818638443947,177.855219907407,"Forest5","f"
0.561779260635376,0.181370109319687,177.855219907407,"Forest6","f"
0.60233348608017,0.215298533439636,177.855219907407,"Forest7","f"
0.514438509941101,0.166724443435669,177.855219907407,"Forest8","f"
0.689475536346436,0.322261184453964,177.855219907407,"Forest9","f"
0.455145120620728,0.124203480780125,177.855219907407,"Forest10","f"
0.539691627025604,0.16813750565052,177.855219907407,"Forest11","f"
0.537280678749084,0.172123089432716,177.855219907407,"Forest12","f"
0.561355292797089,0.205787569284439,177.855219907407,"Forest13","f"
0.592780590057373,0.189635887742043,177.855219907407,"Forest14","f"
0.271646857261658,0.0585951805114746,177.855219907407,"Forest15","f"
NA,NA,177.855219907407,"FP1","fp"
NA,NA,177.855219907407,"FP2","fp"
NA,NA,177.855219907407,"FP3","fp"
NA,NA,177.855219907407,"FP4","fp"
NA,NA,177.855219907407,"FP5","fp"
NA,NA,177.855219907407,"FP6","fp"
NA,NA,177.855219907407,"FP7","fp"
NA,NA,177.855219907407,"FP8","fp"
NA,NA,177.855219907407,"FP9","fp"
NA,NA,177.855219907407,"FP10","fp"
0.620108187198639,0.252650946378708,178.465115740741,"ForestShrub2","fs"
0.67182868719101,0.280390530824661,178.465115740741,"ForestShrub1","fs"
0.650110721588135,0.274277925491333,178.465115740741,"Shrub1","s"
0.587601959705353,0.23265728354454,178.465115740741,"Shrub2","s"
0.573643386363983,0.225254938006401,178.465115740741,"Shrub3","s"
0.650112152099609,0.273767441511154,178.465115740741,"Shrub4","s"
0.702950179576874,0.291741728782654,178.465115740741,"Shrub5","s"
0.64888733625412,0.252807438373566,178.465115740741,"Shrub6","s"
0.636132299900055,0.266894429922104,178.465115740741,"Shrub7","s"
0.662304520606995,0.279717445373535,178.465115740741,"Shrub8","s"
0.644608676433563,0.262703984975815,178.465115740741,"Shrub9","s"
0.623215973377228,0.260051339864731,178.465115740741,"Shrub10","s"
0.579719841480255,0.223588734865189,178.465115740741,"Shrub11","s"
0.626073122024536,0.257925063371658,178.465115740741,"Shrub13","s"
0.655913949012756,0.27226248383522,178.465115740741,"Shrub14","s"
0.667000353336334,0.276992559432983,178.465115740741,"Shrub15","s"
0.553299486637115,0.162613749504089,178.465115740741,"Forest1","f"
0.608194649219513,0.209737718105316,178.465115740741,"Forest2","f"
0.5712890625,0.177267357707024,178.465115740741,"Forest3","f"
0.559070706367493,0.169331654906273,178.465115740741,"Forest4","f"
0.577490746974945,0.185751169919968,178.465115740741,"Forest5","f"
0.546932339668274,0.160688981413841,178.465115740741,"Forest6","f"
0.557485938072205,0.164709076285362,178.465115740741,"Forest7","f"
0.545543611049652,0.166075319051743,178.465115740741,"Forest8","f"
0.591493546962738,0.182684674859047,178.465115740741,"Forest9","f"
0.542766630649567,0.15750926733017,178.465115740741,"Forest10","f"
0.540391385555267,0.161464422941208,178.465115740741,"Forest11","f"
0.554168522357941,0.179385781288147,178.465115740741,"Forest12","f"
0.578449904918671,0.183800339698792,178.465115740741,"Forest13","f"
0.637227714061737,0.233764350414276,178.465115740741,"Forest14","f"
0.606047868728638,0.209452196955681,178.465115740741,"Forest15","f"
0.695637941360474,0.296162873506546,178.465115740741,"FP1","fp"
0.714285731315613,0.317743122577667,178.465115740741,"FP2","fp"
0.682685971260071,0.290753096342087,178.465115740741,"FP3","fp"
0.722085893154144,0.328587383031845,178.465115740741,"FP4","fp"
0.723924279212952,0.308131873607635,178.465115740741,"FP5","fp"
0.499683350324631,0.125885501503944,178.465115740741,"FP6","fp"
0.422702699899673,0.114427857100964,178.465115740741,"FP7","fp"
0.524511635303497,0.185137003660202,178.465115740741,"FP8","fp"
0.741020798683167,0.336837291717529,178.465115740741,"FP9","fp"
NA,NA,178.465115740741,"FP10","fp"
NA,NA,193.462604166667,"ForestShrub2","fs"
NA,NA,193.462604166667,"ForestShrub1","fs"
0.453142732381821,0.178977936506271,193.462604166667,"Shrub1","s"
0.397711664438248,0.15077643096447,193.462604166667,"Shrub2","s"
